ROWNO,PT_NO,PT_NM,ADDR,ORG_NM,WMYR,WMOD,WMWK,LON_DGR,LON_MIN,LON_SEC,LAT_DGR,LAT_MIN,LAT_SEC,WMCYMD,WMDEP,ITEM_LVL,ITEM_AMNT,ITEM_TEMP,ITEM_PH,ITEM_DOC,ITEM_BOD,ITEM_COD,ITEM_SS,ITEM_TCOLI,ITEM_TN,ITEM_TP,ITEM_CD,ITEM_CN,ITEM_PB,ITEM_CR6,ITEM_AS,ITEM_HG,ITEM_CU,ITEM_ABS,ITEM_PCB,ITEM_OP,ITEM_MN,ITEM_TRANS,ITEM_CLOA,ITEM_CL,ITEM_ZN,ITEM_CR,ITEM_FE,ITEM_PHENOL,ITEM_NHEX,ITEM_EC,ITEM_TCE,ITEM_PCE,ITEM_NO3N,ITEM_NH3N,ITEM_ECOLI,ITEM_POP,ITEM_DTN,ITEM_DTP,ITEM_FL,ITEM_COL,ITEM_ALGOL,ITEM_CCL4,ITEM_DCETH,ITEM_DCM,ITEM_BENZENE,ITEM_CHCL3,ITEM_TOC,ITEM_DEHP,ITEM_ANTIMON,ITEM_DIOX,ITEM_HCHO,ITEM_HCB,ITEM_NI,ITEM_BA,ITEM_SE1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,01,1회차,127,28,36,36,22,,2012.01.05,,,,         6.9,         7.6,        12.9,         1.1,         3.6,         1.3,        107,         1.471,         0.011,,,,,,,,,,,,,         4.1,,,,,         0.000,,       126,,,         1.022,         0.016,         1,         0.002,         1.436,         0.006,,,,,,,,,         2.8,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,03,3회차,127,28,36,36,22,,2012.03.19,,,,         5.6,         7.5,        14.1,         0.9,         3.8,         1.8,          5,         1.426,         0.013,,,,,,,,,,,,,         4.6,,,,,         0.000,,       130,,,         1.290,         0.017,         0,         0.003,         1.353,         0.010,,,,,,,,,         2.3,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,03,4회차,127,28,36,36,22,,2012.03.27,,,,         5.9,         7.3,        14.4,         0.9,         3.7,         2.3,          2,         1.529,         0.010,,,,,,,,,,,,,         5.3,,,,,         0.000,,       129,,,         1.304,         0.042,         0,         0.000,         1.500,         0.006,,,,,,,,,         2.4,,,,,,,,
1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,04,1회차,127,28,36,36,22,,2012.04.02,,,,         6.5,         7.4,        14.4,         0.7,         4.1,         1.8,          8,         1.493,         0.012,,,,,,,,,,,,,         5.5,,,,,         0.000,,       131,,,         1.358,         0.039,         0,         0.001,         1.428,         0.007,,,,,,,,,         2.3,,,,,,,,
2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,04,2회차,127,28,36,36,22,,2012.04.09,,,,         7.3,         7.4,        13.6,         0.9,         3.9,         2.7,          3,         1.510,         0.014,,,,,,,,,,,,,         4.7,,,,,         0.000,,       134,,,         1.404,         0.036,         0,         0.000,         1.491,         0.008,,,,,,,,,         2.6,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,04,3회차,127,28,36,36,22,,2012.04.16,,,,         9.1,         7.6,        13.9,         0.8,         4.2,         1.9,          3,         1.824,         0.009,,,,,,,,,,,,,         4.0,,,,,         0.000,,       134,,,         1.379,         0.018,         0,         0.001,         1.714,         0.006,,,,,,,,,         2.3,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,04,4회차,127,28,36,36,22,,2012.04.23,,,,         9.3,         7.7,        13.8,         0.7,         4.4,         2.3,        219,         1.611,         0.019,,,,,,,,,,,,,         4.7,,,,,         0.000,,       135,,,         1.308,         0.029,         5,         0.001,         1.528,         0.006,,,,,,,,,         2.4,,,,,,,,
1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,05,1회차,127,28,36,36,22,,2012.05.02,,,,        12.5,         7.7,        13.9,         0.8,         4.0,         2.4,         14,         1.769,         0.010,,,,,,,,,,,,,         3.1,,,,,         0.000,,       137,,,         1.370,         0.022,         3,         0.001,         1.629,         0.005,,,,,,,,,         2.3,,,,,,,,
2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,05,4회차,127,28,36,36,22,,2012.05.21,,,,        14.7,         7.4,        11.9,         1.0,         4.0,         3.1,         10,         1.761,         0.013,,,,,,,,,,,,,         7.0,,,,,         0.000,,       138,,,         1.417,         0.028,         4,         0.001,         1.643,         0.007,,,,,,,,,         3.8,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,05,5회차,127,28,36,36,22,,2012.05.29,,,,        15.5,         8.5,        10.0,         1.0,         3.9,         3.7,         20,         1.685,         0.014,,,,,,,,,,,,,         7.8,,,,,         0.000,,       139,,,         1.502,         0.028,         0,         0.002,         1.635,         0.006,,,,,,,,,         3.5,,,,,,,,
4,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,05,2회차,127,28,36,36,22,,2012.05.07,,,,        13.5,         7.8,        13.6,         1.1,         4.4,         3.1,          8,         1.713,         0.012,,,,,,,,,,,,,         3.2,,,,,         0.000,,       138,,,         1.481,         0.040,         1,         0.000,         1.658,         0.008,,,,,,,,,         2.4,,,,,,,,
5,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,05,3회차,127,28,36,36,22,,2012.05.15,,,,        13.9,         7.9,        11.8,         1.0,         4.3,         3.3,         10,         1.854,         0.012,,,,,,,,,,,,,         4.2,,,,,         0.000,,       138,,,         1.793,         0.032,         1,         0.000,         1.700,         0.006,,,,,,,,,         3.9,,,,,,,,
1,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,06,1회차,127,28,36,36,22,,2012.06.05,,,,        17.5,         8.3,        15.0,         0.9,         4.3,         2.9,        155,         1.698,         0.010,         0.000,         0.00,         0.00,         0.00,         0.000,         0.0000,,         0.0,,,,,         7.9,,,         0.00,,         0.000,,       141,,,         1.363,         0.037,         0,         0.006,         1.628,         0.007,,,,,,,,,         2.5,,,,,,,,
2,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,06,2회차,127,28,36,36,22,,2012.06.11,,,,        19.2,         8.4,        16.0,         1.0,         4.1,         2.1,         58,         1.652,         0.007,,,,,,,,,,,,,         6.7,,,,,         0.000,,       140,,,         1.353,         0.023,         0,         0.002,         1.616,         0.005,,,,,,,,,         2.6,,,,,,,,
3,3008A40,대청댐,대전광역시 동구 추동  추동취수탑,금강물환경연구소,2012,06,3회차,127,28,36,36,22,,2012.06.18,,,,        19.9,         8.3,        16.5,         1.1,         3.8,         2.1,          2,         1.537,         0.010,,,,,,,,,,,,,         6.9,,,,,         0.000,,       142,,,         1.288,         0.069,         0,         0.000,         1.445,         0.005,,,,,,,,,         2.8,,,,,,,,
