ROWNO,SITE_ID,SITE_NAME,MSR_DATE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100 
121566,S03004,공주,2012-08-08,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,528,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,8.3,255,10.6,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
121567,S03005,부여,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121568,S03006,미호천,2012-08-08,,,,,,4.6,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0,,,,,,,,,,,,31.1,8.8,464,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
121569,S03007,장계,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121570,S03008,용담호,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,0.006,3.5,,,,,,,,,29.2,8.7,88,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121571,S03009,현도,2012-08-08,,,,,,2,,,,,,,,,,,,,,,,,,,,,1.74,0.006,,,,,,,,0.011,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,6.9,139,4.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
121572,S03010,옥천천,2012-08-08,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,2.404,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,8.2,321,9.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
121573,S03011,이원,2012-08-08,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,1.472,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,8.8,135,7.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
121574,S03012,봉황천,2012-08-08,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,1.823,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,8,258,7.9,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
121575,S03013,남면,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121576,S03104,(구)공주,2012-08-08,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,528,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,8.3,255,10.6,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
121577,S04001,주암호,2012-08-08,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,0.742,0.022,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,8.8,74,9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
121578,S04002,나주,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121579,S04003,서창교,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121580,S04004,옥정호,2012-08-08,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,1.887,0.017,49.2,,,,,,,,,30.6,9.4,137,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121581,S04005,용봉,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121582,S04006,구례,2012-08-08,,,,,,2.1,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.881,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,7.5,132,7.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
121583,S04007,탐진호,2012-08-08,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,0.809,0.018,3.9,,,,,,,,,25.7,9,71,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
120984,S03002,갑천,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120985,S03003,대청호,2012-08-08,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,30.2,9.5,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,
120956,S01016,미산,2012-08-08,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.828,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,8.8,240,8.9,4,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
120957,S01017,포천,2012-08-08,,,,,,4.9,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3.574,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,7.7,731,6.8,6.5,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,
120958,S01018,단양,2012-08-08,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,1.972,0.023,,,,,,,,,,27.2,8.1,258,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120798,S01001,가평,2012-08-08,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,2.087,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,7.7,92,8.2,6.4,,,,,,,,,,,0,,,,,,,,,,,,,,,,
120799,S01002,흥천,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120800,S01003,경안천,2012-08-08,,,,,,3.4,,,,,,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,,,,,,,,,,,,31.9,8.3,358,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120801,S01004,구리,2012-08-08,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,8.1,156,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120802,S01005,여주,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120803,S01006,원주,2012-08-08,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,8.3,170,7.8,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
120804,S01007,평창강,2012-08-08,,29,8.1,216,6.6,1.6,0,,,,,,,,,,,,,,,,,,,,1.869,0.015,,,,,,,,,,29,8.1,216,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120805,S01009,한탄강,2012-08-08,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,399,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,8.8,203,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120806,S01010,서상,2012-08-08,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,2.351,0.012,,,,,,,,,,21.4,8.4,96,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,8.4,96,7.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
120807,S01011,강천,2012-08-08,,,,,,2.9,,,,,,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,,,,,,,,,,,,30.9,8.3,239,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121726,S04008,동복호,2012-08-08,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,1.166,0.009,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,9,82,10,1.9,,,,,,,,,,,,,,0,,,,,,,,,,,,,
120959,S01019,화천,2012-08-08,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,7.3,109,8.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
120960,S01020,능서,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120961,S01021,달천,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120962,S02001,성서,2012-08-08,,,,,,5.3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,28.2,6.4,801,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,
120963,S02002,고령,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120964,S02003,왜관,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120965,S02004,강창,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120966,S02005,적포,2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119365,S02010,남천,2012-08-09,,,,,,3.5,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,26.4,6.7,438,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121734,S01009,한탄강,2012-08-09,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,408,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,8.6,236,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119367,S02012,해평,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119368,S02013,진주,2012-08-09,,,,,,2.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,28.4,7.4,105,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119369,S02014,풍양,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119370,S02015,칠곡,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119371,S02017,상동,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119372,S02018,봉화,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119373,S02019,구미,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119374,S02020,신암,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119375,S02021,도개,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119376,S02022,회상,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119377,S02106,(구)청암,2012-08-09,,,,,,3.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676,0.064,,,164,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,8.6,178,8.2,10.7,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
119378,S03002,갑천,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119379,S03003,대청호,2012-08-09,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,29.7,10.1,154,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,
119380,S03004,공주,2012-08-09,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,342,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,8.1,273,9.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
119496,S03005,부여,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119497,S03006,미호천,2012-08-09,,,,,,4.6,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0,,,,,,,,,,,,30.3,8.8,473,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,
119498,S03007,장계,2012-08-09,,,,,,3,,,,,,,,,,,,,,,,,,,,,1.311,0.032,9.7,,,,,,,,,30.6,9.2,134,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119499,S03008,용담호,2012-08-09,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,1.474,0.008,4,,,,,,,,,28.9,8.8,88,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119500,S03009,현도,2012-08-09,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,1.855,0.007,,,,,,,,0.013,1.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,6.8,138,3.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
119501,S03010,옥천천,2012-08-09,,,,,,3,,,,,,,,,,,,,,,,,,,,,2.512,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,7.9,331,7.6,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
119502,S03011,이원,2012-08-09,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,1.419,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,8.6,132,6.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
119503,S03012,봉황천,2012-08-09,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,1.885,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,7.5,267,8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
119504,S03013,남면,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119505,S03104,(구)공주,2012-08-09,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,342,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,8.1,273,9.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
119506,S04001,주암호,2012-08-09,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,0.744,0.021,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,8.9,73,8.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
119507,S04002,나주,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119508,S04003,서창교,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119509,S04004,옥정호,2012-08-09,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,1.865,0.016,44.9,,,,,,,,,30.4,9.4,138,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119510,S04005,용봉,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119511,S04006,구례,2012-08-09,,,,,,2.1,,,,,,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.15,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,7.3,138,7.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
119512,S04007,탐진호,2012-08-09,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.018,0.018,4,,,,,,,,,25.7,9,72,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
119513,S04008,동복호,2012-08-09,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,1.166,0.009,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,9,81,9.3,1.8,,,,,,,,,,,,,,0,,,,,,,,,,,,,
121727,S01001,가평,2012-08-09,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,2.174,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,7.5,102,7.8,5.9,,,,,,,,,,,0,,,,,,,,,,,,,,,,
121728,S01002,흥천,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121729,S01003,경안천,2012-08-09,,,,,,3.4,,,,,,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,,,,,,,,,,,,30.4,8.2,364,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121730,S01004,구리,2012-08-09,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,8.6,158,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121731,S01005,여주,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121732,S01006,원주,2012-08-09,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,8.3,174,7.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
121733,S01007,평창강,2012-08-09,,28.9,8.1,220,6.5,0.9,0,,,,,,,,,,,,,,,,,,,,1.961,0.014,,,,,,,,,,28.9,8.1,220,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121735,S01010,서상,2012-08-09,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,2.4,0.013,,,,,,,,,,21.8,8.4,98,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,8.4,98,7.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
121736,S01011,강천,2012-08-09,,,,,,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,30.2,8.4,245,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121737,S01012,의암호,2012-08-09,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,1.259,0.01,,,,,,,,,,25.7,8.4,102,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121738,S01014,충주,2012-08-09,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.585,0.017,3.5,,,,,,,,,18.6,7.4,179,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121739,S01015,인제,2012-08-09,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.486,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,7.4,89,8.3,1.2,,,,,,,,,,,0,,,,,,,,,,,,,,,,
121740,S01016,미산,2012-08-09,,,,,,2,,,,,,,,,,,,,,,,,,,,,1.518,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,8.4,230,8.3,4,,,,,,,,,,,0,,,,,,,,,,,,,,,,
121741,S01017,포천,2012-08-09,,,,,,5.1,,,,,,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3.633,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,7.6,832,6.4,7.2,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,
121742,S01018,단양,2012-08-09,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1.963,0.022,,,,,,,,,,27,8,261,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121743,S01019,화천,2012-08-09,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,1.543,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,7.2,109,8.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
121744,S01020,능서,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121745,S01021,달천,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121746,S02001,성서,2012-08-09,,,,,,5.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,28.2,6.4,817,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,
121747,S02002,고령,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121748,S02003,왜관,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121749,S02004,강창,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121750,S02005,적포,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121751,S02006,청암,2012-08-09,,,,,,3.1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676,0.064,,,164,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,8.6,178,8.2,10.7,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
121752,S02007,칠서,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121753,S02008,창암,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121754,S02009,다산,2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
